,full_text,sentimen,aspect
538,we booked our flight back home after coldplay at around pm thinking wed be safe bc the concert gates open at pm rightcoldplay arent even starting until pm and they play for  hours  so we cant even watch the whole thing or we risk missing our flight fml,Positive,no aspect
539,thank you so much coldplay for playing here soon so the promoter is willing to provide water refills i hope this is gonna be a continuous action from this promoter for the next concerts,Positive,no aspect
540,  for concert it will do k max bc seat behide stage still she will break coldplay  nights at buenos aires argentina attendance record ,Neutral,facility
541,hopefully next yearnext  years ada concert skz kat my i nak nengok ln buat concert coldplay onz tak,Positive,no aspect
542, cancel je or boycott not sure if this concert is still relevant coldplay talks about peace justice but we dont see any,Positive,no aspect
543,mrt jakarta services extended for coldplay concert  tempoenglish,Neutral,no aspect
544,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
545,wtb lfs  ph helping a friend  looking for two  adjacent  coldplay music of the spheres world tour philippine arena manila  motstwtph    ubb only  day  only  max budget srp   no to scammers  jennduwishlizt    tix concert con motstwt manila lf ubb tickets,Positive,experience
546,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
547,wtr rent sewa hp   samsung s ultra   free powerbank  gdrive  jaminan  kartu id  for concert only  coldplay  nov k  ikon  nov k  twice  des k  another concert dm  testimonials  the view vs the fancam ,Positive,no aspect
548,  i wasnt asking if those two were sins or not we muslims are always aware of that i was asking whats the correlation btwn the two as you claimed that it was hypocrite to boikot mcd and going to coldplay concert,Negative,no aspect
549,its not too late to cancel ur opening appearance at the coldplay concert bestie,Negative,no aspect
550,whey i literally ingat announcement concert coldplay kat malaysia like  days time reallt files so fast,Positive,no aspect
551, wooei     pls cancel concert at jakarta   dont because of your concert our country is in chaos we dont like bands that support lgbt  listen this  ,Negative,no aspect
552,concerts ive been to this year   coldplay the weeknd mcfly x busted x louis tomlinson madness  weeks away,Negative,no aspect
553, november      indonesia concert sparked protests because of bands lgbtq support   coldplay performing in indonesia a devout muslim country nov    the gelora bung karno stadium in jakarta indonesia   ,Positive,no aspect
554,wtb  want to buy pengen beli coldplay jakarta   tix  cat    cod venue besok no scam please jauh scammer proofs amp  surat kuasa please  hit me up pls  tag wtt wts wtb ticket concert tiket konser coldplay jkt vip cat      wtbcoldplay zonauang,Positive,ticket
555,wtb  tix coldplay jakarta  november  day   t want to buy konser concert jkt indonesia ticket tiket,Positive,ticket
556,wtb ticket concert coldplay  tix festival prefer cod area bandung,Positive,ticket
557, calling coldplay fans   i have  ticket to coldplay kuala lumpur malaysia concert on november  if you are interested hmu,Positive,ticket
558,coldplays upcoming indonesian concert caused huge uproar and protests in the country because of the bands support for the lgbtq community ,Positive,no aspect
559,it blows my mind how the members and big hit staff have managed to come out with very different live productions to display each solo project  dia beacon  coldplay concert  dday tourbh  hobipollooza   sk music shows  tiny desk band sessions  times sq amp  audacy,Neutral,experience
560, oh but did you bring those back after concert i actually want to bring back for my memento btw tomorrow is coldplay jakarta so excited ,Positive,no aspect
561,selling one coldplayinmy ticket cat  row    original price    hirzan     coldplay malaysia concert ,Positive,ticket
562,wts tiket coldplay singapore concert date sabtu sat th january  web price  cat  tix section  row g seat  kubik experience tix  can use paypal  wise  paylater price before transfer fee   coldplayinsingapore ticketcoldplay ticketcoldplaymurah,Positive,ticket
563,open rent samsung s ultra   cod stasiun cod venue  coldplay  nov  ikon  nov  twice  des  enhypen sg  jan  nct   on hold sampai tiketing  price amp  tnc dmhub no wa di bio  t tags wts wtb wtr sewa want to rent hp konser concert fanmeet kpop ,Negative,ticket
564,and also next week is the coldplay concert i tell you november is the month ,Neutral,no aspect
565,since i realise that im failed to get tickets for coldplays concert in jakarta tomorrow for the sake of my mental health ive to do this temporarily its still hard to accept that i really didnt go to my favourite bands concert for calo youre a bastard  ,Negative,no aspect
566,cant wait for coldplay next week aaaaa im finally going for a coldplay concert cant believe,Neutral,no aspect
567,   ask him how much of stolen retail money he spent on that coldplay concert for citadel employees,Negative,ticket
568,wts coldplay concert in singapore date  january  last show   tickets general standing price negotiable   please reach me dm or mention me  serious buyer  wtscoldplay sellcoldplayconcert coldplayinsg coldplaysingapore,Positive,ticket
569,so if you are attending coldplays concert in malaysia or indonesia where it is comfortable to show your full support for palestine please do,Positive,experience
570,selling  tickets cat  for coldplay concert in kl dm me for details ,Neutral,no aspect
571,hey  can you make some sympathy similar like this for your concert in jakarta tomorrow  its not about politics its about humanity and im sure you guys are against genocide apartheid and ethnic cleansing  see you tomorrow  coldplayjakarta,Positive,no aspect
572,to anyone going to coldplays concert next week lets bring our palestine flag to show our support and solidarity for our brothers and sisters in palestine small steps leads to big changes  ceasefireingazanow  ceasefireforgaza freepalestine,Positive,experience
573, we went to coldplay concert in tokyo recently and they acknowledged the issues that the world is facing and does mention gaza but also expect them to be neutral in loving humanity as a whole we heard people shouting free palestine during his speech was heartfelt,Positive,no aspect
574,hey  can you do this too for your concert in jakarta tomorrow  its not about politics its about humanity and im sure you guys are against genocide and ethnic cleansing  coldplayinjakarta,Positive,no aspect
575,wts  tix of coldplay concert in sg   jan  same price with web y guyss contact dm ig williamkennes wts wtb wtt coldplayinsingapore wtbcoldplay wtscoldplay wttcoldplay wtbcoldplayinsg wtscoldplayinsg coldplayconcert coldplaysingapore ,Neutral,ticket
576,ito na ang sign   available pickupdropoff batasan don antonio circle centris cubao sm north marikina bgc and moa   coldplay music of the spheres concert carpool shuttle vanpool ph philippines bulacan  ,Neutral,experience
577, good afternoon how was the coldplay concert it was amazing i guess weloveyoujin  theastronaut  jin  ,Positive,no aspect
578,the fact i cant find any groupsfb groups for discussion about the perth coldplay concerts is making me so anxious,Negative,no aspect
579,lee chanhyuk  fix you coldplay  leechanhyuk akmu akmuconcert ,Neutral,no aspect
580,good luck for tomorrows concert  in jakarta ,Positive,no aspect
581,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
582,wtb  tix coldplay singapore concert on  cat  or   coldplayinsingapore wtb wtbcoldplay,Neutral,no aspect
583,one of my life goals is to attend a coldplay concert,Neutral,no aspect
584,oh wow i just realised coldplay concert is next week,Positive,no aspect
585,coldplay concert india  tickets price booking dates for asia tour ,Neutral,ticket
586,want to sale coldplay in bangkok sg tix only  side by side  for price dm  will be entering to the concert with me coldplayinbangkok wts wtb ,Positive,ticket
587,wts lfb helping a friend  coldplay music of the spheres philippine arena bulacan    ubd  adjacent day   k ea  can do meet ups  dm for sure buyers lets not waste each others time   tags tix ph philippines concert con mnl world tour lfb ticket tickets,Positive,ticket
588,open rent   samsung galaxy s  s ultra  iphone  pr  coldplay  ikon  twice   wtr want to rent hp concert konser fanmeet festival fansign mamamoo eaj park joyland lee junho coldplay sg jakarta,Positive,no aspect
589,fuck everyday life but i want to make a sign that says daddy its my birthday for the coldplay concert would chris hate that yes or yes lmaoo,Positive,no aspect
590,the woman in black is me when i saw her in front of me when she arrived at her special section at coldplay concert  ,Positive,no aspect
591,wts coldplay concert in gbk jakarta music of the spheres  november cat    pax reasonable amp  nego able price row awal,Neutral,ticket
592,the coldplay concert bikes are sending me,Neutral,no aspect
593, i want to be able to ride my ebike to a concert and have a place to plug it in and charge it while i relax and enjoy the show also not coldplay,Positive,experience
594,  according to global condition especially massacre holocaust genocide palestinian people by genocidal state israel would you mind please cancel the concert in indonesia because we are sad to see the world still having fun over other peoples suffering,Negative,no aspect
